meta:name:OfficeEmployees								
meta:dateCreated:10-12-19								
first_name	last_name	address_line_one	address_line_two	city	state	zip	phone	email
Dwight	Schrute	1725 Slough Ave		Scranton	PA	18540	5551238069	dwight@Dundermiflin.com
Pam	Halpert	1725 Slough Ave		Scranton	PA	18540	5551238069	pam@Dundermiflin.com
Michael	Scott	1725 Slough Ave		Scranton	PA	18540	5551238069	michael@Dundermiflin.com
Jim	Halpert	1725 Slough Ave		Scranton	PA	18540	5551238069	jim@Dundermiflin.com
Kevin	Malone	1725 Slough Ave		Scranton	PA	18540	5551238069	kevin@Dundermiflin.com
Angela	Martin	1725 Slough Ave		Scranton	PA	18540	5551238069	angela@Dundermiflin.com
Andy	Bernard	1725 Slough Ave		Scranton	PA	18540	5551238069	andy@Dundermiflin.com
Erin	Hannon	1725 Slough Ave		Scranton	PA	18540	5551238069	erin@Dundermiflin.com
Toby	Flenderson	1725 Slough Ave		Scranton	PA	18540	5551238069	toby@Dundermiflin.com
Creed	Bratton	1725 Slough Ave		Scranton	PA	18540	5551238069	creed@Dundermiflin.com
Ryan	Howard	1725 Slough Ave		Scranton	PA	18540	5551238069	ryan@Dundermiflin.com
Meredith	Palmer	1725 Slough Ave		Scranton	PA	18540	5551238069	meredith@Dundermiflin.com
Jan	Levinson	1725 Slough Ave		Scranton	PA	18540	5551238069	jan@Dundermiflin.com
Stanley	Hudson	1725 Slough Ave		Scranton	PA	18540	5551238069	stanley@Dundermiflin.com
Kelly	Kapoor	1725 Slough Ave		Scranton	PA	18540	5551238069	kelly@Dundermiflin.com
Holly	Flax	1725 Slough Ave		Scranton	PA	18540	5551238069	holly@Dundermiflin.com
Gabe	Lewis	1725 Slough Ave		Scranton	PA	18540	5551238069	gabe@Dundermiflin.com
Nellie	Bertram	1725 Slough Ave		Scranton	PA	18540	5551238069	nellie@Dundermiflin.com
Darryl	Philbin	1725 Slough Ave		Scranton	PA	18540	5551238069	darryl@Dundermiflin.com
Phyllis	Vance	1725 Slough Ave		Scranton	PA	18540	5551238069	phyllis@Dundermiflin.com
Bob	Vance	1725 Slough Ave		Scranton	PA	18541	5551238070	bob@vancerefrigeration.com
Oscar	Martinez	1725 Slough Ave		Scranton	PA	18542	5551238071	oscar@Dundermiflin.com
David	Wallace	1725 Slough Ave		Scranton	PA	18543	5551238072	david@Dundermiflin.com
